ticker,date,period_ending,estimate,reported,surprise,surprise%
EZPW,03-AUG-22,Jun 2022,0.06,0.16,0.1,166.67
ACRE,29-JUL-22,Jun 2022,0.33,0.38,0.05,15.15
ALRS,27-JUL-22,Jun 2022,0.61,0.57,-0.04,-6.56
SMBC,25-JUL-22,Jun 2022,1.33,1.41,0.08,6.02
IBCP,26-JUL-22,Jun 2022,0.56,0.61,0.05,8.93
FMAO,21-JUL-22,Jun 2022,0.62,0.63,0.01,1.61
WTBA,28-JUL-22,Jun 2022,0.69,0.75,0.06,8.7
CCNE,19-JUL-22,Jun 2022,0.8,0.85,0.05,6.25
MBIN,28-JUL-22,Jun 2022,0.9,1.11,0.21,23.33
SMMF,28-JUL-22,Jun 2022,0.97,0.92,-0.05,-5.15
HMST,25-JUL-22,Jun 2022,0.98,0.94,-0.04,-4.08
HCI,08-AUG-22,Jun 2022,0.2,-0.71,-0.91,-455.0
AMAL,28-JUL-22,Jun 2022,0.55,0.65,0.1,18.18
HBCP,26-JUL-22,Jun 2022,1.03,1.19,0.16,15.53
FLIC,28-JUL-22,Jun 2022,0.47,0.54,0.07,14.89
PFHD,28-JUL-22,Jun 2022,0.39,0.5,0.11,28.21
FMBH,28-JUL-22,Jun 2022,0.91,0.9,-0.01,-1.1
FSBC,25-JUL-22,Jun 2022,0.54,0.58,0.04,7.41
FISI,28-JUL-22,Jun 2022,0.78,0.99,0.21,26.92
GNTY,18-JUL-22,Jun 2022,0.79,1.06,0.27,34.18
GCMG,09-AUG-22,Jun 2022,0.13,0.12,-0.01,-7.69
IVR,04-AUG-22,Jun 2022,0.87,1.4,0.53,60.92
TRTX,02-AUG-22,Jun 2022,0.26,0.27,0.01,3.85
RM,03-AUG-22,Jun 2022,1.07,1.24,0.17,15.89
INBK,20-JUL-22,Jun 2022,1.1,0.99,-0.11,-10.0
CSTR,21-JUL-22,Jun 2022,0.47,0.45,-0.02,-4.26
TREE,28-JUL-22,Jun 2022,-0.04,0.58,0.62,1550.0
OSCR,11-AUG-22,Jun 2022,-0.73,-0.53,0.2,27.4
GPMT,08-AUG-22,Jun 2022,0.22,0.22,0.0,0.0
AFCG,09-AUG-22,Jun 2022,0.6,0.69,0.09,15.0
UVE,27-JUL-22,Jun 2022,0.38,0.47,0.09,23.68
WRLD,27-JUL-22,Jun 2022,0.85,1.15,0.3,35.29
UNH,15-JUL-22,Jun 2022,5.24,5.57,0.33,6.3
JNJ,19-JUL-22,Jun 2022,2.57,2.59,0.02,0.78
LLY,04-AUG-22,Jun 2022,1.8,1.25,-0.55,-30.56
PFE,28-JUL-22,Jun 2022,1.75,2.04,0.29,16.57
ABBV,29-JUL-22,Jun 2022,3.31,3.37,0.06,1.81
MRK,28-JUL-22,Jun 2022,1.67,1.87,0.2,11.98
TMO,28-JUL-22,Jun 2022,4.92,5.51,0.59,11.99
ABT,20-JUL-22,Jun 2022,1.09,1.43,0.34,31.19
DHR,21-JUL-22,Jun 2022,2.35,2.76,0.41,17.45
BMY,27-JUL-22,Jun 2022,1.79,1.93,0.14,7.82
AMGN,04-AUG-22,Jun 2022,4.4,4.65,0.25,5.68
CVS,03-AUG-22,Jun 2022,2.16,2.4,0.24,11.11
MDT,23-AUG-22,Jul 2022,1.12,1.13,0.01,0.89
GILD,02-AUG-22,Jun 2022,1.51,1.58,0.07,4.64
CI,04-AUG-22,Jun 2022,5.44,6.22,0.78,14.34
ISRG,21-JUL-22,Jun 2022,1.16,1.14,-0.02,-1.72
VRTX,04-AUG-22,Jun 2022,3.48,3.6,0.12,3.45
REGN,03-AUG-22,Jun 2022,8.53,9.77,1.24,14.54
SYK,26-JUL-22,Jun 2022,2.27,2.25,-0.02,-0.88
HUM,27-JUL-22,Jun 2022,7.67,8.67,1.0,13.04
ZTS,04-AUG-22,Jun 2022,1.22,1.2,-0.02,-1.64
BDX,04-AUG-22,Jun 2022,2.49,2.66,0.17,6.83
BSX,27-JUL-22,Jun 2022,0.42,0.44,0.02,4.76
MRNA,03-AUG-22,Jun 2022,4.5,5.24,0.74,16.44
MCK,03-AUG-22,Jun 2022,5.31,5.83,0.52,9.79
HCA,22-JUL-22,Jun 2022,3.67,4.21,0.54,14.71
CNC,26-JUL-22,Jun 2022,1.73,1.77,0.04,2.31
DXCM,28-JUL-22,Jun 2022,0.17,0.17,0.0,0.0
EW,28-JUL-22,Jun 2022,0.63,0.63,0.0,0.0
A,16-AUG-22,Jul 2022,1.2,1.34,0.14,11.67
BIIB,20-JUL-22,Jun 2022,4.09,5.25,1.16,28.36
IQV,21-JUL-22,Jun 2022,2.39,2.44,0.05,2.09
ILMN,11-AUG-22,Jun 2022,0.63,0.57,-0.06,-9.52
IDXX,02-AUG-22,Jun 2022,1.54,1.56,0.02,1.3
RMD,11-AUG-22,Jun 2022,1.48,1.49,0.01,0.68
MTD,28-JUL-22,Jun 2022,8.73,9.39,0.66,7.56
BAX,28-JUL-22,Jun 2022,0.88,0.87,-0.01,-1.14
VEEV,31-AUG-22,Jul 2022,1.01,1.03,0.02,1.98
ALNY,28-JUL-22,Jun 2022,-1.62,-2.29,-0.67,-41.36
ABC,03-AUG-22,Jun 2022,2.57,2.62,0.05,1.95
ZBH,02-AUG-22,Jun 2022,1.63,1.82,0.19,11.66
LH,28-JUL-22,Jun 2022,4.67,4.96,0.29,6.21
PODD,04-AUG-22,Jun 2022,0.21,-0.06,-0.27,-128.57
CAH,11-AUG-22,Jun 2022,1.17,1.05,-0.12,-10.26
WAT,02-AUG-22,Jun 2022,2.63,2.75,0.12,4.56
MOH,27-JUL-22,Jun 2022,4.34,4.55,0.21,4.84
HOLX,27-JUL-22,Jun 2022,0.69,0.95,0.26,37.68
