ticker,date,period_ending,estimate,reported,surprise,surprise%
SNDX,08-AUG-22,Jun 2022,-0.65,-0.62,0.03,4.62
RCUS,03-AUG-22,Jun 2022,-0.93,-0.93,0.0,0.0
MD,04-AUG-22,Jun 2022,0.47,0.47,0.0,0.0
VIVO,05-AUG-22,Jun 2022,0.17,0.17,0.0,0.0
LGND,08-AUG-22,Jun 2022,0.54,0.34,-0.2,-37.04
IOVA,04-AUG-22,Jun 2022,-0.6,-0.63,-0.03,-5.0
IMGN,29-JUL-22,Jun 2022,-0.22,-0.24,-0.02,-9.09
PRVA,11-AUG-22,Jun 2022,-0.02,-0.1,-0.08,-400.0
AVNS,09-AUG-22,Jun 2022,0.39,0.41,0.02,5.13
PHR,07-SEP-22,Jul 2022,-0.99,-0.89,0.1,10.1
ACRS,03-AUG-22,Jun 2022,-0.36,-0.31,0.05,13.89
USPH,04-AUG-22,Jun 2022,0.93,0.9,-0.03,-3.23
KYMR,09-AUG-22,Jun 2022,-0.68,-0.78,-0.1,-14.71
AMPH,08-AUG-22,Jun 2022,0.37,0.39,0.02,5.41
BBIO,04-AUG-22,Jun 2022,-0.92,-0.81,0.11,11.96
REPL,04-AUG-22,Jun 2022,-0.63,-0.78,-0.15,-23.81
RCM,03-AUG-22,Jun 2022,0.04,0.13,0.09,225.0
NEO,09-AUG-22,Jun 2022,-0.22,-0.16,0.06,27.27
ZNTL,09-AUG-22,Jun 2022,-1.21,-1.34,-0.13,-10.74
SGRY,02-AUG-22,Jun 2022,-0.03,-0.03,0.0,0.0
RETA,08-AUG-22,Jun 2022,-1.9,-2.02,-0.12,-6.32
TGTX,08-AUG-22,Jun 2022,-0.49,-0.3,0.19,38.78
ALHC,04-AUG-22,Jun 2022,-0.26,-0.06,0.2,76.92
NXGN,26-JUL-22,Jun 2022,0.15,0.16,0.01,6.67
ADPT,03-AUG-22,Jun 2022,-0.4,-0.37,0.03,7.5
VCEL,03-AUG-22,Jun 2022,-0.13,-0.19,-0.06,-46.15
HIMS,08-AUG-22,Jun 2022,-0.1,-0.1,0.0,0.0
AVXL,09-AUG-22,Jun 2022,-0.15,-0.16,-0.01,-6.67
MNKD,09-AUG-22,Jun 2022,-0.09,-0.11,-0.02,-22.22
KURA,03-AUG-22,Jun 2022,-0.52,-0.52,0.0,0.0
INVA,27-JUL-22,Jun 2022,0.55,0.05,-0.5,-90.91
TMCI,09-AUG-22,Jun 2022,-0.21,-0.23,-0.02,-9.52
CDMO,06-SEP-22,Jul 2022,0.03,0.04,0.01,33.33
INBX,08-AUG-22,Jun 2022,-0.84,-0.97,-0.13,-15.48
MLAB,04-AUG-22,Jun 2022,1.95,1.17,-0.78,-40.0
ALLO,09-AUG-22,Jun 2022,-0.61,-0.52,0.09,14.75
BLFS,09-AUG-22,Jun 2022,-0.2,-1.71,-1.51,-755.0
EDIT,03-AUG-22,Jun 2022,-0.84,-0.78,0.06,7.14
ADMA,10-AUG-22,Jun 2022,-0.09,-0.07,0.02,22.22
CRNX,12-AUG-22,Jun 2022,-0.62,-0.81,-0.19,-30.65
BKD,08-AUG-22,Jun 2022,-0.41,-0.45,-0.04,-9.76
RNA,09-AUG-22,Jun 2022,-0.74,-0.92,-0.18,-24.32
ARQT,04-AUG-22,Jun 2022,-1.38,-1.31,0.07,5.07
GERN,11-AUG-22,Jun 2022,-0.09,-0.07,0.02,22.22
ANAB,08-AUG-22,Jun 2022,-0.95,-1.15,-0.2,-21.05
OM,01-AUG-22,Jun 2022,-0.63,-0.77,-0.14,-22.22
VREX,02-AUG-22,Jun 2022,0.21,0.2,-0.01,-4.76
ENTA,08-AUG-22,Jun 2022,-1.36,-1.53,-0.17,-12.5
LMAT,28-JUL-22,Jun 2022,0.32,0.29,-0.03,-9.38
AMWL,04-AUG-22,Jun 2022,-0.25,-0.25,0.0,0.0
SRNE,15-AUG-22,Jun 2022,-0.23,-0.31,-0.08,-34.78
RGNX,03-AUG-22,Jun 2022,-1.44,-1.58,-0.14,-9.72
CYRX,04-AUG-22,Jun 2022,-0.15,-0.17,-0.02,-13.33
AUPH,04-AUG-22,Jun 2022,-0.22,-0.25,-0.03,-13.64
KROS,04-AUG-22,Jun 2022,-1.07,-1.13,-0.06,-5.61
FLGT,04-AUG-22,Jun 2022,0.73,0.78,0.05,6.85
ANIK,03-AUG-22,Jun 2022,-0.26,-0.2,0.06,23.08
MDGL,04-AUG-22,Jun 2022,-3.76,-4.14,-0.38,-10.11
COGT,09-AUG-22,Jun 2022,-0.64,-0.71,-0.07,-10.94
NNOX,16-AUG-22,Jun 2022,-0.23,-0.38,-0.15,-65.22
AERI,04-AUG-22,Jun 2022,-0.52,-0.32,0.2,38.46
VRAY,02-AUG-22,Jun 2022,-0.15,-0.15,0.0,0.0
SHC,04-AUG-22,Jun 2022,0.24,0.27,0.03,12.5
HSKA,08-AUG-22,Jun 2022,0.37,0.34,-0.03,-8.11
COLL,04-AUG-22,Jun 2022,1.31,0.13,-1.18,-90.08
HSTM,25-JUL-22,Jun 2022,0.05,0.1,0.05,100.0
EBS,01-AUG-22,Jun 2022,0.63,-0.86,-1.49,-236.51
SLP,06-JUL-22,May 2022,0.17,0.2,0.03,17.65
CUTR,04-AUG-22,Jun 2022,-0.22,-0.24,-0.02,-9.09
ACET,10-AUG-22,Jun 2022,-0.45,-0.56,-0.11,-24.44
BNGO,04-AUG-22,Jun 2022,-0.1,-0.11,-0.01,-10.0
CTIC,08-AUG-22,Jun 2022,-0.2,-0.21,-0.01,-5.0
NKTR,04-AUG-22,Jun 2022,-1.01,-0.85,0.16,15.84
MORF,03-AUG-22,Jun 2022,-0.81,0.68,1.49,183.95
TBPH,04-AUG-22,Jun 2022,-0.06,-0.04,0.02,33.33
RCKT,08-AUG-22,Jun 2022,-0.68,-0.83,-0.15,-22.06
KNSA,03-AUG-22,Jun 2022,-0.43,-0.29,0.14,32.56
ARCT,09-AUG-22,Jun 2022,-1.84,-0.82,1.02,55.43
SWTX,04-AUG-22,Jun 2022,-1.26,-1.41,-0.15,-11.9
CDNA,04-AUG-22,Jun 2022,-0.08,-0.13,-0.05,-62.5
TARS,11-AUG-22,Jun 2022,-0.65,-0.24,0.41,63.08
STRO,08-AUG-22,Jun 2022,-0.74,-0.55,0.19,25.68
NVTA,09-AUG-22,Jun 2022,-0.74,-0.68,0.06,8.11
DCPH,04-AUG-22,Jun 2022,-0.65,-0.6,0.05,7.69
IDYA,15-AUG-22,Jun 2022,-0.57,-0.57,0.0,0.0
OPK,04-AUG-22,Jun 2022,-0.02,-0.04,-0.02,-100.0
VNDA,03-AUG-22,Jun 2022,0.11,0.05,-0.06,-54.55
HLTH,10-AUG-22,Jun 2022,-0.5,-0.37,0.13,26.0
RDNT,09-AUG-22,Jun 2022,0.05,0.15,0.1,200.0
MRSN,08-AUG-22,Jun 2022,-0.5,-0.55,-0.05,-10.0
CERS,04-AUG-22,Jun 2022,-0.06,-0.05,0.01,16.67
SEER,09-AUG-22,Jun 2022,-0.39,-0.37,0.02,5.13
BHVN,05-AUG-22,Jun 2022,-2.79,-6.21,-3.42,-122.58
AGEN,09-AUG-22,Jun 2022,-0.23,-0.17,0.06,26.09
PAHC,24-AUG-22,Jun 2022,0.4,0.36,-0.04,-10.0
INO,09-AUG-22,Jun 2022,-0.3,-0.46,-0.16,-53.33
EGRX,09-AUG-22,Jun 2022,3.13,1.56,-1.57,-50.16
ANGO,12-JUL-22,May 2022,0.01,0.01,0.0,0.0
CSII,02-AUG-22,Jun 2022,-0.22,-0.25,-0.03,-13.64
AXGN,03-AUG-22,Jun 2022,-0.15,-0.06,0.09,60.0
QTRX,08-AUG-22,Jun 2022,-0.67,-0.67,0.0,0.0
OFIX,05-AUG-22,Jun 2022,0.07,0.08,0.01,14.29
ATEC,04-AUG-22,Jun 2022,-0.35,-0.36,-0.01,-2.86
GOSS,09-AUG-22,Jun 2022,-0.67,-0.74,-0.07,-10.45
ACCD,30-JUN-22,May 2022,-0.73,-0.4,0.33,45.21
PTGX,04-AUG-22,Jun 2022,-0.99,-0.84,0.15,15.15
ITOS,10-AUG-22,Jun 2022,1.2,0.15,-1.05,-87.5
GBIO,04-AUG-22,Jun 2022,-0.63,-0.66,-0.03,-4.76
ESPR,02-AUG-22,Jun 2022,-0.95,-1.05,-0.1,-10.53
MCRB,03-AUG-22,Jun 2022,-0.58,-0.7,-0.12,-20.69
BTAI,09-AUG-22,Jun 2022,-1.2,-1.35,-0.15,-12.5
FULC,11-AUG-22,Jun 2022,-0.66,-0.83,-0.17,-25.76
ALBO,15-AUG-22,Jun 2022,-1.58,-2.04,-0.46,-29.11
SPNE,02-AUG-22,Jun 2022,-0.35,-0.38,-0.03,-8.57
SGMO,04-AUG-22,Jun 2022,-0.35,-0.29,0.06,17.14
ALEC,04-AUG-22,Jun 2022,-0.39,0.12,0.51,130.77
CYH,27-JUL-22,Jun 2022,-0.01,-2.52,-2.51,-25100.0
IMVT,05-AUG-22,Jun 2022,-0.4,-0.35,0.05,12.5
AMRX,05-AUG-22,Jun 2022,0.2,0.19,-0.01,-5.0
CHRS,04-AUG-22,Jun 2022,-0.96,-0.65,0.31,32.29
ICPT,03-AUG-22,Jun 2022,-0.53,-0.68,-0.15,-28.3
CARA,08-AUG-22,Jun 2022,-0.28,-0.08,0.2,71.43
KPTI,04-AUG-22,Jun 2022,-0.63,-0.62,0.01,1.59
SRDX,27-JUL-22,Jun 2022,-0.39,-0.34,0.05,12.82
ATRA,08-AUG-22,Jun 2022,-0.91,-0.31,0.6,65.93
SENS,09-AUG-22,Jun 2022,-0.04,-0.03,0.01,25.0
PRVB,04-AUG-22,Jun 2022,-0.49,-0.46,0.03,6.12
BLUE,04-AUG-22,Jun 2022,-1.31,-1.29,0.02,1.53
ABUS,04-AUG-22,Jun 2022,-0.13,-0.1,0.03,23.08
MIRM,04-AUG-22,Jun 2022,-1.05,-0.84,0.21,20.0
KIDS,03-AUG-22,Jun 2022,-0.15,-0.17,-0.02,-13.33
RAPT,11-AUG-22,Jun 2022,-0.75,-0.62,0.13,17.33
SANA,04-AUG-22,Jun 2022,-0.46,-0.47,-0.01,-2.17
KALV,08-SEP-22,Jul 2022,-1.02,-0.94,0.08,7.84
CPSI,02-AUG-22,Jun 2022,0.68,0.59,-0.09,-13.24
ANIP,08-AUG-22,Jun 2022,0.12,0.13,0.01,8.33
NGM,04-AUG-22,Jun 2022,-0.55,-0.59,-0.04,-7.27
FDMT,11-AUG-22,Jun 2022,-0.78,-0.87,-0.09,-11.54
ALXO,08-AUG-22,Jun 2022,-0.66,-0.67,-0.01,-1.52
CSTL,08-AUG-22,Jun 2022,-0.58,-0.06,0.52,89.66
AGTI,09-AUG-22,Jun 2022,0.2,0.19,-0.01,-5.0
CDXS,04-AUG-22,Jun 2022,-0.14,-0.04,0.1,71.43
HCAT,04-AUG-22,Jun 2022,-0.11,-0.03,0.08,72.73
PGEN,08-AUG-22,Jun 2022,-0.16,-0.13,0.03,18.75
MDXG,02-AUG-22,Jun 2022,-0.06,-0.11,-0.05,-83.33
MGNX,08-AUG-22,Jun 2022,-0.97,-0.67,0.3,30.93
LQDA,11-AUG-22,Jun 2022,-0.24,-0.15,0.09,37.5
KNTE,11-AUG-22,Jun 2022,-0.65,-0.62,0.03,4.62
PNTG,08-AUG-22,Jun 2022,0.14,0.14,0.0,0.0
CGEM,10-AUG-22,Jun 2022,5.47,-2.2,-7.67,-140.22
SIBN,08-AUG-22,Jun 2022,-0.49,-0.54,-0.05,-10.2
KOD,09-AUG-22,Jun 2022,-1.77,-1.74,0.03,1.69
INGN,04-AUG-22,Jun 2022,-0.4,-0.02,0.38,95.0
DYN,04-AUG-22,Jun 2022,-0.79,-1.01,-0.22,-27.85
OCGN,05-AUG-22,Jun 2022,-0.08,-0.09,-0.01,-12.5
XERS,10-AUG-22,Jun 2022,-0.23,-0.19,0.04,17.39
CCCC,04-AUG-22,Jun 2022,-0.68,-0.56,0.12,17.65
AVIR,08-AUG-22,Jun 2022,-0.52,-0.38,0.14,26.92
NKTX,11-AUG-22,Jun 2022,-0.59,-0.48,0.11,18.64
NUVB,04-AUG-22,Jun 2022,-0.13,-0.16,-0.03,-23.08
NSTG,04-AUG-22,Jun 2022,-0.62,-0.85,-0.23,-37.1
HRTX,09-AUG-22,Jun 2022,-0.5,-0.55,-0.05,-10.0
PMVP,09-AUG-22,Jun 2022,-0.41,-0.38,0.03,7.32
EOLS,02-AUG-22,Jun 2022,-0.24,-0.38,-0.14,-58.33
STOK,08-AUG-22,Jun 2022,-0.7,-0.63,0.07,10.0
RLMD,11-AUG-22,Jun 2022,-1.3,-1.33,-0.03,-2.31
VXRT,08-AUG-22,Jun 2022,-0.21,-0.23,-0.02,-9.52
EIGR,04-AUG-22,Jun 2022,-0.71,-0.51,0.2,28.17
OCUL,08-AUG-22,Jun 2022,-0.23,-0.28,-0.05,-21.74
TCDA,08-AUG-22,Jun 2022,-0.52,-0.49,0.03,5.77
TIL,12-AUG-22,Jun 2022,-0.4,-0.4,0.0,0.0
LUNG,02-AUG-22,Jun 2022,-0.41,-0.4,0.01,2.44
YMAB,08-AUG-22,Jun 2022,-0.68,-0.94,-0.26,-38.24
RTX,26-JUL-22,Jun 2022,1.12,1.16,0.04,3.57
HON,28-JUL-22,Jun 2022,2.03,2.1,0.07,3.45
UNP,21-JUL-22,Jun 2022,2.82,2.93,0.11,3.9
UPS,26-JUL-22,Jun 2022,3.14,3.29,0.15,4.78
CAT,02-AUG-22,Jun 2022,3.0,3.18,0.18,6.0
LMT,19-JUL-22,Jun 2022,1.74,1.99,0.25,14.37
DE,19-AUG-22,Jul 2022,6.64,6.16,-0.48,-7.23
BA,27-JUL-22,Jun 2022,-0.08,-0.37,-0.29,-362.5
GE,26-JUL-22,Jun 2022,0.38,0.78,0.4,105.26
NOC,28-JUL-22,Jun 2022,6.03,6.06,0.03,0.5
MMM,26-JUL-22,Jun 2022,2.41,2.48,0.07,2.9
ITW,02-AUG-22,Jun 2022,2.21,2.37,0.16,7.24
WM,27-JUL-22,Jun 2022,1.36,1.44,0.08,5.88
CSX,20-JUL-22,Jun 2022,0.47,0.5,0.03,6.38
ETN,02-AUG-22,Jun 2022,1.82,1.87,0.05,2.75
GD,27-JUL-22,Jun 2022,2.72,2.75,0.03,1.1
NSC,27-JUL-22,Jun 2022,3.44,3.45,0.01,0.29
EMR,09-AUG-22,Jun 2022,1.29,1.38,0.09,6.98
UBER,02-AUG-22,Jun 2022,-0.25,-1.33,-1.08,-432.0
JCI,04-AUG-22,Jun 2022,0.84,0.85,0.01,1.19
LHX,28-JUL-22,Jun 2022,3.16,3.23,0.07,2.22
TT,03-AUG-22,Jun 2022,2.1,2.16,0.06,2.86
FDX,23-JUN-22,May 2022,6.91,6.87,-0.04,-0.58
PH,04-AUG-22,Jun 2022,4.67,5.16,0.49,10.49
CTAS,14-JUL-22,May 2022,2.68,2.81,0.13,4.85
CARR,28-JUL-22,Jun 2022,0.62,0.69,0.07,11.29
PCAR,26-JUL-22,Jun 2022,1.81,2.07,0.26,14.36
CMI,02-AUG-22,Jun 2022,4.37,4.77,0.4,9.15
CSGP,26-JUL-22,Jun 2022,0.21,0.28,0.07,33.33
TDG,09-AUG-22,Jun 2022,4.46,4.85,0.39,8.74
AME,02-AUG-22,Jun 2022,1.29,1.38,0.09,6.98
OTIS,27-JUL-22,Jun 2022,0.78,0.86,0.08,10.26
ODFL,27-JUL-22,Jun 2022,3.1,3.3,0.2,6.45
ROK,27-JUL-22,Jun 2022,2.31,2.66,0.35,15.15
FAST,13-JUL-22,Jun 2022,0.5,0.5,0.0,0.0
VRSK,02-AUG-22,Jun 2022,1.42,1.53,0.11,7.75
GWW,29-JUL-22,Jun 2022,6.72,7.19,0.47,6.99
RSG,04-AUG-22,Jun 2022,1.18,1.32,0.14,11.86
CPRT,07-SEP-22,Jul 2022,0.54,0.57,0.03,5.56
URI,27-JUL-22,Jun 2022,6.57,7.86,1.29,19.63
FTV,28-JUL-22,Jun 2022,0.72,0.78,0.06,8.33
LUV,28-JUL-22,Jun 2022,1.17,1.3,0.13,11.11
EFX,20-JUL-22,Jun 2022,2.03,2.09,0.06,2.96
DAL,13-JUL-22,Jun 2022,1.71,1.44,-0.27,-15.79
IR,03-AUG-22,Jun 2022,0.51,0.54,0.03,5.88
PWR,04-AUG-22,Jun 2022,1.51,1.54,0.03,1.99
XYL,02-AUG-22,Jun 2022,0.55,0.66,0.11,20.0
DOV,21-JUL-22,Jun 2022,2.08,2.14,0.06,2.88
WAB,05-AUG-22,Jun 2022,1.22,1.23,0.01,0.82
EXPD,02-AUG-22,Jun 2022,2.09,2.27,0.18,8.61
IEX,26-JUL-22,Jun 2022,1.9,2.02,0.12,6.32
J,01-AUG-22,Jun 2022,1.83,1.86,0.03,1.64
TXT,28-JUL-22,Jun 2022,0.88,1.0,0.12,13.64
JBHT,19-JUL-22,Jun 2022,2.31,2.42,0.11,4.76
HWM,04-AUG-22,Jun 2022,0.33,0.35,0.02,6.06
UAL,20-JUL-22,Jun 2022,1.86,1.43,-0.43,-23.12
LDOS,02-AUG-22,Jun 2022,1.55,1.59,0.04,2.58
BAH,29-JUL-22,Jun 2022,1.06,1.13,0.07,6.6
NDSN,22-AUG-22,Jul 2022,2.45,2.49,0.04,1.63
HUBB,26-JUL-22,Jun 2022,2.41,2.81,0.4,16.6
AXON,09-AUG-22,Jun 2022,0.38,0.44,0.06,15.79
CSL,27-JUL-22,Jun 2022,4.99,6.15,1.16,23.25
SNA,21-JUL-22,Jun 2022,3.91,4.27,0.36,9.21
SWK,28-JUL-22,Jun 2022,2.12,1.77,-0.35,-16.51
TTC,01-SEP-22,Jul 2022,1.13,1.19,0.06,5.31
TRU,26-JUL-22,Jun 2022,0.98,0.98,0.0,0.0
GGG,27-JUL-22,Jun 2022,0.67,0.68,0.01,1.49
CHRW,27-JUL-22,Jun 2022,1.93,2.67,0.74,38.34
MAS,28-JUL-22,Jun 2022,1.19,1.14,-0.05,-4.2
WSC,03-AUG-22,Jun 2022,0.29,0.32,0.03,10.34
ACM,08-AUG-22,Jun 2022,0.83,0.86,0.03,3.61
BLDR,01-AUG-22,Jun 2022,3.0,6.26,3.26,108.67
ALLE,28-JUL-22,Jun 2022,1.33,1.37,0.04,3.01
AAL,21-JUL-22,Jun 2022,0.79,0.76,-0.03,-3.8
ROL,27-JUL-22,Jun 2022,0.2,0.2,0.0,0.0
HII,04-AUG-22,Jun 2022,3.43,4.44,1.01,29.45
WSO,26-JUL-22,Jun 2022,5.02,4.93,-0.09,-1.79
PLUG,09-AUG-22,Jun 2022,-0.21,-0.3,-0.09,-42.86
OC,27-JUL-22,Jun 2022,3.32,3.83,0.51,15.36
TTEK,03-AUG-22,Jun 2022,1.05,1.08,0.03,2.86
FBHS,27-JUL-22,Jun 2022,1.58,1.67,0.09,5.7
RHI,21-JUL-22,Jun 2022,1.59,1.6,0.01,0.63
LII,28-JUL-22,Jun 2022,4.79,5.0,0.21,4.38
KNX,20-JUL-22,Jun 2022,1.35,1.41,0.06,4.44
LECO,28-JUL-22,Jun 2022,1.99,2.18,0.19,9.55
AGCO,28-JUL-22,Jun 2022,2.18,2.38,0.2,9.17
EME,28-JUL-22,Jun 2022,1.68,1.99,0.31,18.45
PNR,26-JUL-22,Jun 2022,1.0,1.02,0.02,2.0
AOS,28-JUL-22,Jun 2022,0.81,0.82,0.01,1.23
MIDD,04-AUG-22,Jun 2022,2.16,2.23,0.07,3.24
DCI,31-AUG-22,Jul 2022,0.84,0.84,0.0,0.0
HEI,29-AUG-22,Jul 2022,0.65,0.6,-0.05,-7.69
ITT,04-AUG-22,Jun 2022,0.96,0.98,0.02,2.08
KBR,02-AUG-22,Jun 2022,0.64,0.76,0.12,18.75
CACI,10-AUG-22,Jun 2022,4.53,4.54,0.01,0.22
GNRC,03-AUG-22,Jun 2022,2.65,2.99,0.34,12.83
CAR,01-AUG-22,Jun 2022,12.22,15.94,3.72,30.44
VMI,20-JUL-22,Jun 2022,3.29,3.7,0.41,12.46
ST,26-JUL-22,Jun 2022,0.83,0.83,0.0,0.0
NVT,29-JUL-22,Jun 2022,0.54,0.57,0.03,5.56
CW,03-AUG-22,Jun 2022,1.68,1.83,0.15,8.93
SAIA,27-JUL-22,Jun 2022,3.49,4.1,0.61,17.48
AYI,30-JUN-22,May 2022,2.98,3.52,0.54,18.12
RUN,03-AUG-22,Jun 2022,-0.2,-0.06,0.14,70.0
WWD,01-AUG-22,Jun 2022,0.91,0.64,-0.27,-29.67
SAIC,01-SEP-22,Jul 2022,1.68,1.75,0.07,4.17
OSK,28-JUL-22,Jun 2022,0.93,0.41,-0.52,-55.91
CLH,03-AUG-22,Jun 2022,1.53,2.44,0.91,59.48
MDU,04-AUG-22,Jun 2022,0.49,0.35,-0.14,-28.57
BWXT,08-AUG-22,Jun 2022,0.73,0.82,0.09,12.33
LSTR,20-JUL-22,Jun 2022,3.25,3.05,-0.2,-6.15
ALK,21-JUL-22,Jun 2022,1.94,2.19,0.25,12.89
WMS,04-AUG-22,Jun 2022,1.09,2.22,1.13,103.67
SITE,03-AUG-22,Jun 2022,3.0,3.07,0.07,2.33
WCC,04-AUG-22,Jun 2022,3.88,4.19,0.31,7.99
TREX,08-AUG-22,Jun 2022,0.68,0.79,0.11,16.18
FCN,28-JUL-22,Jun 2022,1.67,1.43,-0.24,-14.37
MTZ,04-AUG-22,Jun 2022,0.73,0.73,0.0,0.0
IAA,09-AUG-22,Jun 2022,0.55,0.62,0.07,12.73
EXPO,28-JUL-22,Jun 2022,0.45,0.49,0.04,8.89
UNVR,01-AUG-22,Jun 2022,0.9,1.0,0.1,11.11
GTLS,29-JUL-22,Jun 2022,0.81,0.88,0.07,8.64
MSA,27-JUL-22,Jun 2022,1.29,1.29,0.0,0.0
FLR,05-AUG-22,Jun 2022,0.31,0.13,-0.18,-58.06
CR,25-JUL-22,Jun 2022,1.81,1.9,0.09,4.97
HXL,25-JUL-22,Jun 2022,0.3,0.33,0.03,10.0
VRT,03-AUG-22,Jun 2022,0.1,0.1,0.0,0.0
UFPI,21-JUL-22,Jun 2022,2.25,3.23,0.98,43.56
AIT,11-AUG-22,Jun 2022,1.68,2.02,0.34,20.24
CLVT,09-AUG-22,Jun 2022,0.21,0.22,0.01,4.76
SRCL,05-AUG-22,Jun 2022,0.43,0.48,0.05,11.63
TKR,28-JUL-22,Jun 2022,1.35,1.67,0.32,23.7
ASGN,27-JUL-22,Jun 2022,1.67,1.71,0.04,2.4
AQUA,02-AUG-22,Jun 2022,0.23,0.24,0.01,4.35
R,27-JUL-22,Jun 2022,4.1,4.43,0.33,8.05
MAN,19-JUL-22,Jun 2022,2.31,2.33,0.02,0.87
FLS,27-JUL-22,Jun 2022,0.26,0.3,0.04,15.38
FIX,27-JUL-22,Jun 2022,1.03,1.17,0.14,13.59
NSP,01-AUG-22,Jun 2022,0.99,1.16,0.17,17.17
CWST,28-JUL-22,Jun 2022,0.29,0.36,0.07,24.14
TRTN,28-JUL-22,Jun 2022,2.63,2.92,0.29,11.03
SSD,25-JUL-22,Jun 2022,2.18,2.16,-0.02,-0.92
KEX,28-JUL-22,Jun 2022,0.48,0.49,0.01,2.08
WTS,03-AUG-22,Jun 2022,1.63,2.11,0.48,29.45
XPO,04-AUG-22,Jun 2022,1.5,1.81,0.31,20.67
MSM,29-JUN-22,May 2022,1.75,1.82,0.07,4.0
ALSN,03-AUG-22,Jun 2022,1.35,1.26,-0.09,-6.67
AL,04-AUG-22,Jun 2022,0.79,0.95,0.16,20.25
AIMC,28-JUL-22,Jun 2022,0.83,0.84,0.01,1.2
AJRD,01-AUG-22,Jun 2022,0.47,0.2,-0.27,-57.45
FELE,26-JUL-22,Jun 2022,1.03,1.26,0.23,22.33
GATX,21-JUL-22,Jun 2022,1.24,1.07,-0.17,-13.71
BE,09-AUG-22,Jun 2022,-0.2,-0.2,0.0,0.0
APG,04-AUG-22,Jun 2022,0.36,0.37,0.01,2.78
AWI,26-JUL-22,Jun 2022,1.38,1.29,-0.09,-6.52
HTZ,28-JUL-22,Jun 2022,1.13,1.22,0.09,7.96
LYFT,04-AUG-22,Jun 2022,-0.05,0.12,0.17,340.0
DNB,04-AUG-22,Jun 2022,0.26,0.25,-0.01,-3.85
SPXC,04-AUG-22,Jun 2022,0.61,0.71,0.1,16.39
ENS,10-AUG-22,Jun 2022,1.15,1.15,0.0,0.0
HI,03-AUG-22,Jun 2022,0.86,0.92,0.06,6.98
CHPT,30-AUG-22,Jul 2022,-0.2,-0.19,0.01,5.0
FSS,27-JUL-22,Jun 2022,0.47,0.53,0.06,12.77
ARRY,09-AUG-22,Jun 2022,0.04,0.09,0.05,125.0
HRI,21-JUL-22,Jun 2022,2.58,2.47,-0.11,-4.26
BCO,03-AUG-22,Jun 2022,1.16,1.29,0.13,11.21
BECN,04-AUG-22,Jun 2022,2.36,2.41,0.05,2.12
AAON,08-AUG-22,Jun 2022,0.42,0.3,-0.12,-28.57
FWRD,27-JUL-22,Jun 2022,2.02,2.04,0.02,0.99
SPR,03-AUG-22,Jun 2022,-0.23,-1.21,-0.98,-426.09
AIN,25-JUL-22,Jun 2022,0.79,1.06,0.27,34.18
JBT,27-JUL-22,Jun 2022,1.18,1.13,-0.05,-4.24
KFY,07-SEP-22,Jul 2022,1.53,1.5,-0.03,-1.96
ABM,09-SEP-22,Jul 2022,0.91,0.94,0.03,3.3
UNF,29-JUN-22,May 2022,1.93,1.77,-0.16,-8.29
AAWW,04-AUG-22,Jun 2022,3.3,3.36,0.06,1.82
MRCY,02-AUG-22,Jun 2022,1.01,0.81,-0.2,-19.8
MATX,01-AUG-22,Jun 2022,9.38,9.49,0.11,1.17
TEX,02-AUG-22,Jun 2022,0.87,1.07,0.2,22.99
DY,24-AUG-22,Jul 2022,0.99,1.46,0.47,47.47
HUBG,03-AUG-22,Jun 2022,2.53,3.03,0.5,19.76
WIRE,25-JUL-22,Jun 2022,4.15,10.71,6.56,158.07
ACA,03-AUG-22,Jun 2022,0.46,0.83,0.37,80.43
TNET,26-JUL-22,Jun 2022,1.17,1.72,0.55,47.01
BCC,01-AUG-22,Jun 2022,4.64,5.49,0.85,18.32
CBZ,28-JUL-22,Jun 2022,0.52,0.63,0.11,21.15
WERN,03-AUG-22,Jun 2022,1.02,0.87,-0.15,-14.71
JBLU,02-AUG-22,Jun 2022,-0.11,-0.47,-0.36,-327.27
SHLS,15-AUG-22,Jun 2022,0.07,0.07,0.0,0.0
REZI,04-AUG-22,Jun 2022,0.57,0.63,0.06,10.53
NPO,02-AUG-22,Jun 2022,1.81,2.32,0.51,28.18
CPA,03-AUG-22,Jun 2022,0.27,0.32,0.05,18.52
BRC,01-SEP-22,Jul 2022,0.81,0.87,0.06,7.41
MGRC,28-JUL-22,Jun 2022,0.79,1.07,0.28,35.44
TRN,27-JUL-22,Jun 2022,0.14,0.14,0.0,0.0
SAVE,09-AUG-22,Jun 2022,-0.34,-0.3,0.04,11.76
STEM,04-AUG-22,Jun 2022,-0.18,-0.21,-0.03,-16.67
GMS,01-SEP-22,Jul 2022,2.27,2.43,0.16,7.05
KMT,01-AUG-22,Jun 2022,0.47,0.53,0.06,12.77
NVEE,04-AUG-22,Jun 2022,1.35,1.49,0.14,10.37
AVAV,07-SEP-22,Jul 2022,0.09,-0.1,-0.19,-211.11
AZEK,04-AUG-22,Jun 2022,0.27,0.29,0.02,7.41
ICFI,03-AUG-22,Jun 2022,1.3,1.33,0.03,2.31
KAI,02-AUG-22,Jun 2022,1.97,2.24,0.27,13.71
LNN,30-JUN-22,May 2022,1.57,2.28,0.71,45.22
RUSHA,26-JUL-22,Jun 2022,1.44,1.75,0.31,21.53
